Recorded Date,Usage,Region,District,Address,Floor,Room,Area in Square Feet,Total Deal Price (M),Price per Square Feet
2020-06-02,Industrial,Kowloon,Kowloon Bay / Kai Tak,KOWLOON BAY METRO CTR II,5,30,377.0,3.83,10159.0
2020-06-02,Industrial,Kowloon,Kowloon Bay / Kai Tak,KOWLOON BAY SINO IND PLAZA,9,35,436.0,2.96,6789.0
2020-06-19,Industrial,Kowloon,Kowloon Bay / Kai Tak,KOWLOON BAY METRO CTR,19,1,479.0,4.6,9603.0
2020-06-18,Industrial,Kowloon,Kowloon Bay / Kai Tak,KOWLOON BAY PROFICIENT IND CTR BLK B,6,14,358.0,2.7,7542.0
